Test started at 2026-07-29 09:45:40.589254,,,,,,,,,,,,
,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
9.27E-09,-7.11E-08,6.12E-06,4.41E-07,4.32E-07,-1.23E-05,-1.22E-05,1.05E-05,4.39E-06,,,,
3.96E-08,8.58E-08,3.05E-06,4.51E-07,4.11E-07,-1.22E-05,-1.23E-05,1.02E-05,7.17E-06,,,,
-1.13E-07,1.27E-08,-1.29E-06,3.49E-07,4.63E-07,-1.23E-05,-1.24E-05,9.64E-06,1.09E-05,,,,
-9.92E-08,-2.51E-08,1.07E-05,4.46E-07,5.45E-07,-1.24E-05,-1.23E-05,1.83E-05,7.60E-06,,,,
3.65E-08,8.11E-09,1.02E-05,5.73E-07,5.36E-07,-1.23E-05,-1.23E-05,1.39E-05,3.76E-06,,,,
2.36E-08,-4.01E-08,3.65E-06,5.05E-07,4.81E-07,-1.22E-05,-1.22E-05,9.18E-06,5.53E-06,,,,
7.34E-08,-6.16E-09,-2.04E-06,5.51E-07,4.77E-07,-1.21E-05,-1.21E-05,1.36E-05,1.57E-05,,,,
-8.66E-09,-5.79E-08,-9.85E-06,3.72E-07,3.81E-07,-1.21E-05,-1.20E-05,9.24E-06,1.91E-05,,,,
-1.34E-07,-9.36E-08,-3.01E-06,3.89E-07,5.24E-07,-1.21E-05,-1.20E-05,1.30E-05,1.60E-05,,,,
-8.20E-08,-3.50E-08,7.40E-06,6.01E-07,6.83E-07,-1.20E-05,-1.20E-05,2.00E-05,1.26E-05,,,,
-8.12E-09,2.32E-08,3.03E-06,7.04E-07,7.12E-07,-1.21E-05,-1.21E-05,1.33E-05,1.03E-05,,,,
-1.49E-07,8.85E-08,4.68E-06,6.25E-07,7.74E-07,-1.22E-05,-1.23E-05,6.55E-06,1.87E-06,,,,
-2.77E-08,-1.14E-07,9.08E-07,8.26E-07,8.54E-07,-1.23E-05,-1.22E-05,1.26E-05,1.16E-05,,,,
6.57E-08,-5.88E-08,-5.69E-06,9.79E-07,9.14E-07,-1.21E-05,-1.21E-05,6.16E-07,6.30E-06,,,,
8.74E-08,8.39E-08,1.00E-05,9.06E-07,8.19E-07,-1.22E-05,-1.23E-05,1.43E-05,4.24E-06,,,,
4.58E-08,-1.40E-08,6.34E-06,8.11E-07,7.65E-07,-1.22E-05,-1.22E-05,1.88E-05,1.25E-05,,,,
8.15E-08,8.46E-08,7.20E-06,6.74E-07,5.92E-07,-1.23E-05,-1.24E-05,8.27E-06,1.08E-06,,,,
-1.08E-07,4.33E-07,-4.05E-06,5.67E-07,6.75E-07,-1.27E-05,-1.32E-05,5.35E-06,9.40E-06,,,,
-4.30E-08,5.35E-07,3.94E-07,6.40E-07,6.83E-07,-1.35E-05,-1.41E-05,7.52E-06,7.13E-06,,,,
-1.67E-08,4.13E-07,-5.69E-06,7.00E-07,7.17E-07,-1.45E-05,-1.49E-05,5.66E-06,1.14E-05,,,,
-1.74E-07,4.10E-07,-5.73E-06,7.77E-07,9.51E-07,-1.54E-05,-1.58E-05,9.22E-06,1.49E-05,,,,
-7.22E-08,4.35E-07,9.42E-06,9.54E-07,1.03E-06,-1.62E-05,-1.66E-05,1.60E-05,6.60E-06,,,,
-6.30E-08,4.52E-07,-1.30E-05,1.11E-06,1.17E-06,-1.70E-05,-1.74E-05,3.03E-06,1.60E-05,,,,
5.49E-09,4.88E-07,-3.43E-06,1.11E-06,1.10E-06,-1.79E-05,-1.84E-05,8.49E-06,1.19E-05,,,,
5.79E-08,2.05E-07,-8.91E-06,9.72E-07,9.15E-07,-1.88E-05,-1.90E-05,5.48E-06,1.44E-05,,,,
6.06E-08,-1.81E-08,6.37E-07,7.87E-07,7.26E-07,-1.92E-05,-1.92E-05,5.71E-06,5.08E-06,,,,
-1.70E-08,5.34E-08,-6.81E-07,7.39E-07,7.56E-07,-1.92E-05,-1.93E-05,9.39E-06,1.01E-05,,,,
,,,,,,,,,,,,
DMM2 at voltage range of 1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
8.78E-08,6.62E-08,4.85E-06,6.99E-07,6.11E-07,-1.91E-05,-1.92E-05,8.14E-06,3.30E-06,Average,0.0000%,0.0000%,-0.0001%
-1.20E-07,-9.99E-08,1.26E-05,6.39E-07,7.59E-07,-1.91E-05,-1.90E-05,1.50E-05,2.39E-06,Max,0.0000%,0.0000%,0.0015%
5.39E-08,-1.38E-07,1.50E-05,7.94E-07,7.40E-07,-1.89E-05,-1.87E-05,9.77E-06,-5.23E-06,Min,0.0000%,0.0000%,-0.0016%
-2.74E-08,-2.07E-07,5.93E-07,8.99E-07,9.27E-07,-1.86E-05,-1.84E-05,1.07E-05,1.01E-05,Spread,0.0000%,0.0000%,0.0031%
-2.57E-08,-1.04E-07,-8.45E-06,9.50E-07,9.76E-07,-1.82E-05,-1.81E-05,-2.29E-06,6.16E-06,,,,
5.10E-08,-1.33E-07,1.07E-06,9.63E-07,9.12E-07,-1.79E-05,-1.78E-05,1.23E-05,1.12E-05,,,,
1.03E-08,-1.89E-07,7.85E-07,8.61E-07,8.51E-07,-1.76E-05,-1.74E-05,5.25E-06,4.46E-06,,,,
7.36E-08,-1.51E-07,6.02E-07,8.82E-07,8.08E-07,-1.73E-05,-1.71E-05,6.10E-06,5.50E-06,,,,
1.32E-08,-1.58E-07,-6.94E-06,8.27E-07,8.14E-07,-1.70E-05,-1.68E-05,1.20E-06,8.14E-06,,,,
-2.41E-08,-2.27E-07,1.95E-06,8.78E-07,9.03E-07,-1.68E-05,-1.65E-05,1.11E-05,9.17E-06,,,,
5.14E-09,-1.98E-07,-1.13E-05,9.14E-07,9.08E-07,-1.64E-05,-1.62E-05,6.17E-06,1.74E-05,,,,
6.01E-08,-2.55E-07,1.22E-06,9.01E-07,8.40E-07,-1.60E-05,-1.58E-05,4.73E-06,3.50E-06,,,,
-5.57E-08,-1.96E-07,-1.60E-05,7.61E-07,8.17E-07,-1.57E-05,-1.55E-05,8.63E-06,2.46E-05,,,,
3.10E-08,-9.42E-08,1.65E-06,7.87E-07,7.56E-07,-1.54E-05,-1.53E-05,7.21E-06,5.57E-06,,,,
1.30E-07,3.80E-08,-1.97E-06,7.96E-07,6.66E-07,-1.52E-05,-1.52E-05,8.51E-06,1.05E-05,,,,
5.17E-08,3.03E-08,2.66E-06,7.20E-07,6.69E-07,-1.51E-05,-1.51E-05,4.49E-06,1.83E-06,,,,
-3.59E-08,-1.75E-08,-3.28E-06,6.52E-07,6.88E-07,-1.51E-05,-1.50E-05,-6.83E-07,2.60E-06,,,,
-5.91E-09,-1.03E-07,-5.10E-06,8.34E-07,8.40E-07,-1.49E-05,-1.48E-05,4.27E-06,9.37E-06,,,,
-3.26E-08,-1.44E-07,7.42E-06,9.07E-07,9.40E-07,-1.47E-05,-1.46E-05,1.51E-05,7.70E-06,,,,
-1.71E-08,-1.88E-07,-1.16E-05,8.97E-07,9.15E-07,-1.45E-05,-1.43E-05,-2.70E-06,8.90E-06,,,,
-2.35E-08,-6.90E-08,1.56E-06,8.55E-07,8.79E-07,-1.42E-05,-1.41E-05,1.39E-05,1.24E-05,,,,
-4.52E-08,-1.22E-07,1.44E-06,8.82E-07,9.27E-07,-1.40E-05,-1.38E-05,1.46E-05,1.32E-05,,,,
-1.37E-08,-1.44E-07,9.82E-06,1.03E-06,1.05E-06,-1.36E-05,-1.35E-05,1.13E-05,1.43E-06,,,,
-1.89E-08,-1.13E-07,-9.02E-06,1.03E-06,1.05E-06,-1.34E-05,-1.33E-05,-1.48E-06,7.54E-06,,,,
2.49E-08,-4.53E-08,-2.24E-06,1.02E-06,9.98E-07,-1.33E-05,-1.32E-05,7.05E-06,9.29E-06,,,,
-5.73E-08,-7.70E-09,-1.02E-05,9.99E-07,1.06E-06,-1.32E-05,-1.32E-05,-1.25E-06,8.94E-06,,,,
-1.91E-08,-1.17E-08,-1.76E-07,1.13E-06,1.15E-06,-1.30E-05,-1.30E-05,4.74E-06,4.92E-06,,,,
4.40E-08,3.91E-08,4.39E-06,1.09E-06,1.04E-06,-1.30E-05,-1.30E-05,4.34E-06,-5.56E-08,,,,
-2.76E-08,-5.30E-08,-7.19E-06,1.09E-06,1.11E-06,-1.29E-05,-1.28E-05,7.71E-07,7.96E-06,,,,
2.81E-08,3.95E-08,-7.10E-06,1.07E-06,1.04E-06,-1.29E-05,-1.29E-05,3.48E-06,1.06E-05,,,,
2.31E-08,1.59E-07,7.51E-06,1.05E-06,1.03E-06,-1.28E-05,-1.30E-05,9.23E-06,1.72E-06,,,,
-2.56E-08,-4.47E-08,-2.18E-07,1.06E-06,1.09E-06,-1.29E-05,-1.28E-05,4.17E-06,4.39E-06,,,,
2.92E-08,1.98E-07,-6.02E-07,1.08E-06,1.05E-06,-1.28E-05,-1.30E-05,2.61E-06,3.21E-06,,,,
-1.17E-07,-1.91E-07,7.81E-06,1.07E-06,1.19E-06,-1.29E-05,-1.27E-05,1.36E-05,5.79E-06,,,,
-5.73E-08,-1.23E-07,4.77E-06,1.25E-06,1.30E-06,-1.27E-05,-1.26E-05,5.87E-06,1.10E-06,,,,
1.56E-07,-1.40E-07,-2.16E-06,1.44E-06,1.29E-06,-1.27E-05,-1.26E-05,6.22E-06,8.38E-06,,,,
-3.40E-08,-7.31E-08,-9.24E-06,1.23E-06,1.27E-06,-1.27E-05,-1.26E-05,2.86E-06,1.21E-05,,,,
5.65E-08,-2.02E-08,-2.71E-06,1.20E-06,1.15E-06,-1.27E-05,-1.27E-05,3.24E-06,5.94E-06,,,,
-7.35E-08,4.68E-08,5.74E-06,1.03E-06,1.10E-06,-1.25E-05,-1.25E-05,1.14E-05,5.62E-06,,,,
1.06E-07,1.00E-08,-2.53E-06,1.20E-06,1.09E-06,-1.25E-05,-1.25E-05,5.53E-06,8.06E-06,,,,
