Test started at 2026-07-29 09:45:40.589254,,,,,,,,,,,,
,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
2.01E-07,-2.13E-07,4.28E-05,-2.03E-06,-2.23E-06,-1.08E-05,-1.06E-05,7.30E-05,3.01E-05,Average,0.0000%,0.0000%,0.0014%
-1.47E-07,1.50E-07,5.56E-05,-2.36E-06,-2.21E-06,-1.09E-05,-1.10E-05,0.000113488,5.79E-05,Max,0.0001%,0.0001%,0.0181%
7.85E-09,-5.55E-07,-3.27E-05,-2.15E-06,-2.16E-06,-1.12E-05,-1.07E-05,-5.10E-06,2.76E-05,Min,-0.0001%,-0.0001%,-0.0078%
-2.64E-07,7.60E-07,-3.01E-05,-2.06E-06,-1.80E-06,-1.06E-05,-1.13E-05,-2.29E-05,7.18E-06,Spread,0.0002%,0.0003%,0.0260%
1.31E-07,-5.06E-07,3.06E-05,-2.25E-06,-2.38E-06,-1.13E-05,-1.08E-05,-2.32E-06,-3.29E-05,,,,
3.78E-07,-6.08E-07,-7.81E-05,-2.14E-06,-2.52E-06,-1.15E-05,-1.09E-05,-2.52E-05,5.28E-05,,,,
5.29E-07,-2.80E-07,8.29E-05,-2.10E-06,-2.63E-06,-1.08E-05,-1.05E-05,1.76E-05,-6.53E-05,,,,
-3.92E-08,-1.42E-06,-4.82E-05,-2.29E-06,-2.25E-06,-1.21E-05,-1.06E-05,-2.06E-05,2.76E-05,,,,
-7.55E-07,1.78E-07,-9.96E-06,-2.69E-06,-1.94E-06,-1.10E-05,-1.12E-05,1.25E-05,2.25E-05,,,,
5.20E-07,9.50E-07,-2.32E-07,-1.90E-06,-2.42E-06,-1.05E-05,-1.15E-05,1.74E-05,1.76E-05,,,,
-7.36E-07,-9.89E-07,-2.76E-05,-2.87E-06,-2.14E-06,-1.12E-05,-1.02E-05,-2.32E-06,2.52E-05,,,,
1.29E-07,-7.74E-07,-2.55E-06,-2.46E-06,-2.59E-06,-1.13E-05,-1.05E-05,-3.27E-05,-3.01E-05,,,,
-4.05E-07,3.28E-07,-7.83E-05,-2.48E-06,-2.08E-06,-1.14E-05,-1.17E-05,-6.55E-05,1.27E-05,,,,
4.24E-07,-6.84E-07,3.24E-05,-2.05E-06,-2.48E-06,-1.21E-05,-1.14E-05,8.27E-05,5.03E-05,,,,
3.19E-07,-6.47E-08,3.54E-05,-1.98E-06,-2.30E-06,-1.12E-05,-1.11E-05,5.05E-05,1.51E-05,,,,
1.53E-07,5.96E-07,9.96E-06,-1.84E-06,-2.00E-06,-1.07E-05,-1.13E-05,4.54E-05,3.54E-05,,,,
-6.96E-07,-7.49E-07,-5.81E-05,-2.02E-06,-1.32E-06,-1.13E-05,-1.05E-05,-4.03E-05,1.78E-05,,,,
2.28E-07,3.26E-07,-7.64E-06,-2.01E-06,-2.24E-06,-1.08E-05,-1.12E-05,0,7.64E-06,,,,
-1.64E-07,3.54E-07,-4.77E-05,-1.74E-06,-1.58E-06,-1.16E-05,-1.20E-05,-4.03E-05,7.41E-06,,,,
4.34E-07,4.81E-07,6.04E-05,-1.39E-06,-1.82E-06,-1.07E-05,-1.12E-05,6.30E-05,2.55E-06,,,,
6.62E-07,-7.21E-07,3.29E-05,-1.54E-06,-2.20E-06,-1.13E-05,-1.06E-05,0.000103297,7.04E-05,,,,
-9.90E-07,2.40E-07,-5.81E-05,-2.01E-06,-1.02E-06,-1.15E-05,-1.18E-05,-0.000125995,-6.79E-05,,,,
-4.40E-07,3.54E-07,6.02E-05,-1.74E-06,-1.30E-06,-1.18E-05,-1.22E-05,1.76E-05,-4.26E-05,,,,
9.74E-08,-7.10E-07,7.81E-05,-1.53E-06,-1.63E-06,-1.18E-05,-1.11E-05,3.27E-05,-4.54E-05,,,,
-3.05E-08,-1.12E-06,1.46E-05,-1.57E-06,-1.54E-06,-1.24E-05,-1.13E-05,-1.30E-05,-2.76E-05,,,,
3.05E-07,1.14E-06,0.000161199,-1.30E-06,-1.61E-06,-1.13E-05,-1.24E-05,0.000115804,-4.54E-05,,,,
2.28E-07,-6.22E-07,0.000107929,-1.20E-06,-1.42E-06,-1.20E-05,-1.14E-05,5.28E-05,-5.51E-05,,,,
-2.08E-07,7.97E-07,4.79E-05,-1.82E-06,-1.62E-06,-1.10E-05,-1.18E-05,4.28E-05,-5.10E-06,,,,
-3.16E-07,-3.70E-08,8.31E-05,-1.63E-06,-1.32E-06,-1.12E-05,-1.11E-05,8.06E-05,-2.55E-06,,,,
-8.36E-08,4.85E-08,-3.52E-05,-1.32E-06,-1.23E-06,-1.16E-05,-1.17E-05,-2.01E-05,1.51E-05,,,,
3.02E-07,2.40E-07,3.82E-05,-1.28E-06,-1.58E-06,-1.14E-05,-1.16E-05,1.78E-05,-2.04E-05,,,,
4.49E-07,1.64E-07,-1.99E-05,-1.26E-06,-1.71E-06,-1.18E-05,-1.20E-05,-1.74E-05,2.55E-06,,,,
-2.05E-07,9.41E-07,-1.76E-05,-1.48E-06,-1.28E-06,-1.14E-05,-1.23E-05,2.78E-05,4.54E-05,,,,
3.36E-07,-4.04E-07,-1.04E-05,-1.25E-06,-1.58E-06,-1.16E-05,-1.12E-05,3.50E-05,4.54E-05,,,,
4.64E-07,2.54E-08,-5.05E-05,-1.59E-06,-2.06E-06,-1.16E-05,-1.17E-05,-1.51E-05,3.54E-05,,,,
3.03E-07,7.40E-08,-4.77E-05,-1.25E-06,-1.55E-06,-1.18E-05,-1.19E-05,-7.32E-05,-2.55E-05,,,,
3.71E-07,2.43E-07,8.31E-05,-1.44E-06,-1.82E-06,-1.15E-05,-1.18E-05,0,-8.31E-05,,,,
-7.38E-07,6.24E-08,-2.01E-05,-1.73E-06,-9.94E-07,-1.16E-05,-1.17E-05,2.76E-05,4.77E-05,,,,
1.30E-07,-1.02E-07,-1.02E-05,-1.61E-06,-1.74E-06,-1.17E-05,-1.16E-05,3.24E-05,4.26E-05,,,,
-7.40E-07,0,0.000181349,-1.93E-06,-1.19E-06,-1.13E-05,-1.13E-05,6.55E-05,-0.000115804,,,,
,,,,,,,,,,,,
Running at a PLC of 10,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
-3.35E-07,-3.44E-08,3.29E-05,-1.80E-06,-1.46E-06,-1.18E-05,-1.18E-05,2.89E-05,-4.01E-06,Average,0.0000%,0.0000%,0.0002%
1.74E-07,1.21E-07,-1.29E-05,-1.55E-06,-1.72E-06,-1.16E-05,-1.17E-05,2.36E-06,1.53E-05,Max,0.0000%,0.0000%,0.0043%
